LBD_name,CI434,LexAs5,LexA87,LexAs23,HKCI,RecApact,PurR,LexAs15,LexAs14,CI,DeoR,DBD1
acVHH,0.5426213106553277,0.3,1.7945472736368184,1.2219609804902452,0.6057028514257128,0.8143571785892947,1.4063531765882942,2.0323161580790394,6.467433716858429,0.3,2.0323161580790394,0.4455727863931966
LasR,0.6881940970485243,0.3,2.7989994997498746,1.8042521260630315,0.7900950475237618,1.124912456228114,2.124512256128064,3.206603301650825,10.0,0.3,3.206603301650825,0.537768884442221
RpaR,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CinR,1.0763881940970486,0.5426213106553277,3.3424712356178086,2.3234617308654326,1.1928464232116058,1.5858929464732368,2.6582791395697845,3.750075037518759,10.0,0.47953976988494246,3.750075037518759,0.8871435717858929
BjaR,4.036368184092046,2.071135567783892,10.0,8.471485742871437,4.477938969484742,5.880290145072536,9.60695347673837,10.0,10.0,1.8285142571285642,10.0,3.3473236618309152
RpaRTemp,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
LuxRmut,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
LBD1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
BraR,0.3,0.3,0.9841920960480239,0.6299649824912457,0.3,0.3921960980490245,0.7415707853926963,1.1297648824412205,3.8034517258629315,0.3,1.1297648824412205,0.3
