LBD_name,CI434,LexAs5,LexA87,LexAs23,HKCI,RecApact,PurR,LexAs15,LexAs14,CI,DeoR,DBD1
acVHH,2.3696842841859467,2.5183893309176364,1.9896117889316165,2.1265846476903443,2.340468371775284,2.2559952170701876,2.0777131637127133,1.943833057743575,1.4920743326411334,2.523629991505622,1.943833057743575,2.4188438110124597
LasR,4.032804623671245,4.190924927002875,3.6616347222994956,3.794325648070807,4.003648101336632,3.9203303117404245,3.7469688794211384,3.6172361885020394,3.169619217709477,4.205807804200497,3.6172361885020394,4.082428501372932
RpaR,0.045119378590529724,0.36816121781666533,-0.782964422393206,-0.505538217909492,-0.024007508823179743,-0.22094198479111082,-0.6071375752822927,-0.8710164481020868,-1.6618822003938183,0.39593274321827887,-0.8710164481020868,0.16019964030141348
CinR,2.2120699241911943,2.305016812230954,1.951776362653193,2.049883100031676,2.1934793972504893,2.138282095493169,2.0153875578107456,1.9180315464561406,1.5614814526585148,2.318040456929948,1.9180315464561406,2.2427398212967673
BjaR,2.8457544641524746,2.8779696714521896,2.725030824569422,2.781398764748101,2.838893239224708,2.817724940660452,2.7664311372029613,2.6893154470649927,1.9947873898058628,2.882197368035544,2.6893154470649927,2.856772407471526
RpaRTemp,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
LuxRmut,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
LBD1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BraR,3.4283294266633195,3.3834412460117216,2.8421568017629464,3.045431622197796,3.3904924112191646,3.250239455326877,2.9715519524489595,2.776568971905461,2.168260843204764,3.328839834745399,2.776568971905461,3.464102142605846
